Help #,Help Name,
651,"Browse - EQO_BELEGGINGSIN",
652,"Browse - EQI_MUNTKOERSEN",
653,"Browse - EQO_KOERSEN",
654,"Browse - EQO_ACCOUNT_INFO",
655,"Browse - EQO_CLIENT_INFO",
656,"Browse - EQO_FONDSEN",
657,"Browse - EQO_POSITIES",
658,"Browse - EQI_TRANSACTIONS",
659,"Browse - FR_BELEGGINGSINS",
660,"Browse - FR_REKENINGEN",
661,"Browse - EQI_EXERCISECONV",
662,"Browse - FR_CODERINGEN",
663,"Browse - FR_EXPORT",
664,"Browse - IP_I_INSTRPRICES",
665,"Browse - CD_I_CASHDIVIDEN",
666,"Browse - BGC_REKENINGEN",
667,"Browse - BGC_INFORMATIE",
668,"Browse - PERIOD_BETALINGE",
669,"Browse - BGC_BOEKINGSUITV",
670,"Browse - BGC_EXPORT_BATCH",
671,"Browse - GELDBATCHES_HEAD",
672,"Browse - GELDBATCHES_DETA",
673,"Browse - GELDBATCH_JOURNA",
674,"Browse - BGC_AANVULLENDE_",
675,"Browse - TRANS_TYPE",
676,"Browse - TRANS_MUT_SCHEME",
677,"Browse - TRANS_TYPE_GROUP",
678,"Browse - TRANS_TYPE_CHECK",
679,"Browse - TRANS_TYPE_GROUP",
680,"Browse - TRANS_VALID_COMB",
681,"Browse - TRANS_VALID_TYPE",
682,"Browse - TRANS_VALID_TYPE",
683,"Browse - TRANS_PROCES_CAT",
684,"Browse - TPC_FINANCIAL_IN",
685,"Browse - VW_TRANSACTION_L",
686,"Browse - TRANS_KOSTENCOMP",
687,"Browse - FOUTIEVE_TRNS_EV",
688,"Browse - TRANSTERMINAL_EI",
689,"Browse - OTI_ORDERTRAJINS",
690,"Browse - CATEGORIERELATIE",
691,"Browse - CLIENTTYPE",
692,"Browse - BELEGGINGSHORIZO",
693,"Browse - ECD_ERRORMESSAGE",
694,"Browse - CMF_EP_MSGTYPE",
695,"Browse - RENSVERBANDSCONT",
696,"Browse - RENTESCHALEN_HEA",
697,"Browse - RENTESCHALEN_DET",
698,"Browse - TAALCODES",
699,"Browse - LIFFE_BEURSCODE_",
700,"Browse - RENSHASHTOTAAL",
701,"Browse - VW_DEPOSITO_CONT",
702,"Browse - PEILDATA",
703,"Browse - FIATTERING_LOGBO",
704,"Browse - REMISIERS",
705,"Browse - ADV_TEAM_BEHANDE",
706,"Browse - CLIENT_BEOORD_FA",
707,"Browse - RELEASE_GEGEVENS",
708,"Browse - FONDSSELECTIE",
709,"Browse - INFOSOORTPERIB",
710,"Browse - KOPPELING_DEPOT_",
711,"Browse - AW_AS_EX_WERKBES",
712,"Browse - AO_AS_EX_OPTIEPO",
713,"Browse - AFKSOM_REL_HEADE",
714,"Browse - AFKSOM_REL_DETAI",
715,"Browse - AFKOOPSOMMENBERE",
716,"Browse - AFKOOPSOMMENHIST",
717,"BrowseS - HR_HEADER",
718,"Browse - CI_EP_BERICHTSOO",
719,"Browse - DATUMCONTROLE",
720,"Browse - ABACUS_ULTIMO_PO",
